2622,MANGO,170g,80,1175,94000
2622,MARACUYA ,140g,10,1700,17000
2622,MELON,200g,20,980,19600
2622,MORA,125g,40,950,38000
2622,PIÑA,0NA,20,990,19800
2622,SANDIA,200g,50,900,45000
2622,SMOTHIE MLF,0NA,20,1350,27000
2622,UVA,150g,20,1170,23400
2622,UVA,200g,40,1550,62000
2623,FRESA,0NA,16,6600,105600
2623,GUANABANA,0NA,20,7600,152000
2623,LULO,0NA,20,6800,136000
2623,MORA ,0NA,20,6800,136000
2624,LULO,150g,20,1020,20400
2624,MELON,200g,40,980,39200
2625,DURAZNO,0NA,20,1100,22000
2625,FEIJOA,0NA,20,800,16000
2625,FRESA,0NA,80,1050,84000
2625,GUAYABA,0NA,10,660,6600
2625,GUAYABA,750g,8,4000,32000
2625,LULO,0NA,30,800,24000
2625,LULO,0NA,8,4950,39600
2625,MANGO,0NA,20,800,16000
2625,MORA,0NA,20,800,16000
2625,PIÑA,1000g,8,6600,52800
2625,UVA,0NA,20,1200,24000
2626,ARAZA,0NA,2,7000,14000
2626,GULUPA CON PEPA,0NA,3,8000,24000
2626,GULUPA,0NA,3,8000,24000
2626,LULO,0NA,2,6800,13600
2626,MANGO,0NA,1,7500,7500
2626,MARACUYA ,0NA,2,7500,15000
2626,TAMARINDO,0NA,6,10000,60000
2627,FRESA,0NA,40,750,30000
2627,GUANABANA,0NA,20,1000,20000
2627,LULO,0NA,20,750,15000
2627,MANGO,0NA,20,1000,20000
2628,MANGO,0NA,20,7500,150000
2629,DURAZNO,0NA,1,6800,6800
2629,FEIJOA,0NA,1,6800,6800
2629,MARACUYA,0NA,1,7500,7500
2630,FRESA,0NA,4,6000,24000
2630,GUANABANA,0NA,4,7500,30000
2630,LULO,0NA,4,6500,26000
2630,MANGO,0NA,4,6800,27200
2630,MORA,0NA,4,6600,26400
2631,ARAZA,0NA,1,7000,7000
2631,GULUPA CON PEPA,0NA,2,8000,16000
2631,GULUPA,0NA,1,8000,8000
2631,LULO,0NA,1,6800,6800
2631,MANGO,0NA,1,7500,7500
2631,MARACUYA,0NA,1,7500,7500
2632,DURAZNO,0NA,30,1100,33000
2632,FEIJOA,0NA,20,800,16000
2632,FRESA,0NA,70,1050,73500
2632,GUAYABA,750g,10,4000,40000
2632,LULO,0NA,50,800,40000
2632,MANGO,0NA,50,800,40000
2632,MORA,0NA,10,800,8000
2632,MORA,750g,10,4950,49500
2632,PIÑA,1000g,10,6600,66000
2633,FEIJOA,150g,10,1060,10600
2633,FEIJOA,170g,20,1200,24000
2633,FRESA ,200g,50,1000,50000
2633,FRUTOS ROJOS,1000g,3,8500,25500
2633,GUANABANA,150g,20,1350,27000
2633,GUANABANA,180g,40,1620,64800
2633,LULO,150g,40,1020,40800
2633,MANGO,150g,20,1040,20800
2633,MANGO,170g,70,1175,82250
2633,MARACUYA ,150g,10,1320,13200
2633,MORA,125g,10,950,9500
2633,MORA,50g,10,380,3800
2633,SANDIA,180g,10,810,8100
2633,SANDIA,200g,20,900,18000
2633,SMOTHIE MLF,200g,20,1350,27000
2634,FRESA,0NA,1,6000,6000
2634,LULO,0NA,1,6800,6800
2634,MANGO BICHE,0NA,3,7500,22500
2634,MARACUYA,0NA,1,7500,7500
2634,MORA,0NA,1,6800,6800
2634,TAMARINDO,0NA,1,10000,10000
