222,Junio 7 de 2016,Transferencia otra entidad    ,ACH                           ,"$347,082 ",70297748,830144557        PROVEEDOR HARRYSA SAS HAR0                           ,4782
223,Junio 7 de 2016,Transferencia otra entidad    ,ACH                           ,"$539,798 ",70297751,830144557        PROVEEDOR HARRYSA SAS RES0                           ,4780
256,Junio 27 de 2016,Transferencia otra entidad    ,ACH                           ,"$1,280,563 ",74905625,830144557        PROVEEDOR HARRYSA SAS HAR0                           ,4814-4837-4855-4884
